canary															
1978	0.816	0.878	1.6	1.39	1.421	0.84	0.888	0.878	0.985	2.739	2.665	4.254	4.146	4.06	0.931
1979	0.659	0.716	1.2	1.103	1.13	0.72	0.77	0.934	1.044	2.798	2.726	4.066	3.979	3.989	1.028
1980	0.704	0.774	1.5	1.353	1.384	0.93	1.085	1.071	1.18	2.923	2.855	4.265	4.203	4.518	1.475
1981	0.758	0.836	1.5	1.375	1.405	0.95	1.114	1.102	1.205	2.859	2.796	4.224	4.178	4.454	1.73
1982	0.731	0.816	1.4	1.343	1.371	0.94	1.057	1.11	1.193	2.628	2.577	4.001	3.973	4.721	2.056
1983	1.089	1.221	2.1	2.056	2.116	1.4	1.733	1.77	1.861	3.628	3.572	4.4	4.411	5.839	3.245
1984	1.17	1.321	2.2	2.093	2.158	1.8	2.162	2.223	2.316	4.296	4.237	4.875	4.913	6.461	4.018
1985	1.238	1.401	2.5	2.371	2.449	2.1	2.137	2.08	2.164	3.991	3.939	4.834	4.88	5.923	3.778
1986	1.132	1.285	2.2	2.166	2.239	1.6	1.701	2.013	2.086	3.74	3.694	4.425	4.469	5.442	3.502
1987	1.247	1.389	2.4	2.309	2.394	2.1	2.386	2.499	2.563	4.257	4.214	4.187	4.235	5.174	3.495
1988	1.163	1.28	2.3	2.221	2.306	2.1	2.405	2.368	2.418	3.876	3.842	3.921	3.972	5.012	3.436
1989	1.097	1.205	2.2	2.19	2.275	1.9	1.963	2.147	2.192	3.487	3.458	3.732	3.786	4.513	3.114
1990	0.926	1.061	2.1	2.118	2.191	1.71	1.812	1.96	2.005	3.161	3.138	3.424	3.481	4.031	2.8
1991	-1	0.907	1.726	1.686	1.735	1.57	1.665	1.898	1.944	3.009	2.99	3.039	3.094	3.551	2.508
1992	-1	-1	1.6	1.52	1.578	1.35	1.394	1.542	1.581	2.46	2.447	2.597	2.652	2.984	2.121
1993	-1	-1	-1	1.262	1.268	1.18	1.232	1.352	1.369	2.139	2.129	2.22	2.274	2.512	1.791
1994	-1	-1	-1	-1	1.055	1	1.068	1.159	1.178	1.842	1.836	1.911	1.964	2.128	1.531
1995	-1	-1	-1	-1	-1	0.754	0.762	0.915	0.927	1.502	1.498	1.556	1.607	1.64	1.149
1996	-1	-1	-1	-1	-1	-1	0.725	0.854	0.831	1.326	1.323	1.368	1.422	1.345	0.922
1997	-1	-1	-1	-1	-1	-1	-1	0.884	0.826	1.295	1.291	1.241	1.301	1.181	0.784
1998	-1	-1	-1	-1	-1	-1	-1	0.807	0.714	1.145	1.142	1.129	1.194	1.066	0.681
1999	-1	-1	-1	-1	-1	-1	-1	-1	0.561	0.969	0.966	1.027	1.095	0.963	0.599
2000	-1	-1	-1	-1	-1	-1	-1	-1	0.482	0.948	0.94	0.962	1.032	0.884	0.576
2001	-1	-1	-1	-1	-1	-1	-1	-1	0.415	0.994	0.978	1.171	1.268	1.049	0.707
2002	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.521	1.519	1.671	1.822	1.626	1.164
2003	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.65	1.682	1.908	2.083	1.899	1.394
2004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.632	1.846	2.017	1.828	1.334
2005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.606	1.76	1.554	1.096
2006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.39	1.551	1.279	0.87
2007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.398	1.067	0.663
2008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.096	0.558
2009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.435
lingcod															
4	1970	2009													
-1	2000	2003	2005	2009											
1970	-1	-1	47181	44280											
1971	-1	-1	47174	45001											
1972	-1	-1	46823	44305											
1973	23735	35822	46065	42695											
1974	22722	34614	44744	41034											
1975	21728	32747	43063	39752											
1976	20969	30218	40952	38448											
1977	20691	27619	38882	36488											
1978	20446	25378	37113	34622											
1979	19829	23716	35498	32410											
1980	18134	21277	32800	29207											
1981	16547	17958	29049	26132											
1982	15786	15956	26505	23684											
1983	15217	14179	24766	21381											
1984	14010	12538	22763	19193											
1985	12260	10779	20002	16854											
1986	10058	8587	16562	14136											
1987	10039	7853	15074	13135											
1988	9740	7134	13908	11979											
1989	9322	6611	12885	10882											
1990	7876	5875	11230	9392											
1991	6737	5143	9725	8147											
1992	5166	3691	7515	6408											
1993	4686	3148	6522	5491											
